id,userName,title,artist,genre,year,listenedQty
1,Sadie Harriman,Brazzaville,Lita Edvard,hip pop,2013,34
2,Pierette Teryn,Tskhinvali,Addia Westphal,latin,2018,34
3,Etta Sawtelle,Padang,Orsola Donell,big room,2002,61
4,Nelle Berne,Caracas,Annice Sperling,dance pop,2016,26
5,Althea Radu,São José dos Campos,Frank Elvyn,art pop,2009,61
6,Zia Gordon,Mumbai,Arlina Firmin,electropop,2006,71
7,Minne Brackely,Buenos Aires,Lorne Mozelle,canadian contemporary r&b,2001,49
8,Verla Ioab,Luanda,Netty Pond,latin,2014,56
9,Paulita Elephus,Hargeisa,Dari Taam,latin,2005,43
10,Nadine Belldas,Bratsk,Jsandye Kaja,dance pop,2016,66
11,Lisette Travax,Sapporo,Jessy Lamoree,big room,2007,55
12,Gilligan Kosey,City of San Marino,Ruthe Lytton,art pop,2016,58
13,Shauna Izaak,Perth,Beverley Sammons,british soul,2012,28
14,Kary Greenwald,Cork (city),Livvyy Eachern,art pop,1999,48
15,Raina Larochelle,Nassau,Calla Carmena,boy band,2003,20
16,Elfreda Othilia,São Tomé,Fawne Ries,neo mellow,2010,19
17,Lucy Pelagias,Zanzibar City,Vanessa Dermott,canadian contemporary r&b,1999,61
18,Kaia Leonard,Lobamba,Viviene Leopold,big room,2016,47
19,Dawn Revkah,Bamako,Berget Behre,dance pop,2016,70
20,Ida Truc,Odessa,Lizzie Borrell,boy band,2021,73
21,Cherrita Cherianne,Antofagasta,Gwyneth Terencio,pop,2011,23
22,Edith Publia,Melekeok,Roz Maxi,big room,2004,34
23,Sidoney Bendick,Lusaka,Chloris MacIntosh,electropop,2008,26
24,Romona Waldron,Innsbruck,Elena Kristi,canadian pop,2001,56
25,Alleen Rese,Whitehorse,Belinda Francene,dance pop,2018,19
26,Collen Emanuel,Fort-de-France,Tobe Kussell,big room,2017,55
27,Sheelagh Raseda,Asmara,Donetta Wenda,barbadian pop,1999,33
28,Elena Velick,Cleveland,Anallese Randene,big room,2006,56
29,Katuscha Myrilla,Dili,Willetta Loleta,hip pop,2013,50
30,Edyth Kirbee,Lubumbashi,Bee Vanni,pop,2017,48
31,Bee Mallon,Lilongwe,Helena Bertold,art pop,2016,41
32,Vivia Brenn,Banda Aceh,Deedee Bari,pop,2011,35
